user_id,video_id,time_ms,duration_ms,playing_time,label_1D
1,316602,205739830,32366,1623,[ 0 -1 -1 -1 -1 -1 -1]
1,427053,205660527,7366,2877,[ 0 -1]
1,96826,208570946,13866,4230,[ 0 -1 -1]
1,422477,205660527,10000,1455,[ 0 -1]
1,184672,209210925,16206,1898,[ 0 -1 -1 -1]
1,418579,243945916,7733,6967,[1 0]
1,60594,230330131,8100,2679,[ 0 -1]
1,397499,205426556,6933,7048,[1 1]
1,445395,205660527,13600,1294,[ 0 -1 -1]
1,449154,205786041,23900,5052,[ 1  0 -1 -1 -1]
1,511743,244010364,96566,1472,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
1,159803,209210925,9733,3819,[ 0 -1]
1,426864,243945916,12241,4614,[ 0 -1 -1]
1,345392,208570946,83600,7405,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
1,364107,244010364,9266,1683,[ 0 -1]
1,541679,209210925,20266,3891,[ 0 -1 -1 -1 -1]
1,238440,209210925,7866,9401,[1 1]
1,583436,208570946,11800,10018,[1 1 0]
1,581609,205660527,8133,1754,[ 0 -1]
1,138923,230339838,9200,3734,[ 0 -1]
1,186878,243877189,5171,6242,[1 1]
1,540426,205426556,9966,21789,[1 1]
1,459039,230339838,11233,9267,[ 1  0 -1]
1,564215,208570946,8400,9500,[1 1]
1,434753,205739830,20360,3539,[ 0 -1 -1 -1 -1]
1,595432,243877189,16866,7883,[ 1  0 -1 -1]
1,50038,243945916,26500,4927,[ 0 -1 -1 -1 -1 -1]
1,65009,158944427,6183,14012,[1 1]
1,253602,244010364,16160,17387,[1 1 1 1]
1,248145,209297158,14666,15212,[1 1 1]
1,593189,243877189,10833,5890,[ 1  0 -1]
1,591963,243945916,15266,9624,[ 1  0 -1 -1]
1,427352,208570946,23266,1578,[ 0 -1 -1 -1 -1]
1,455421,243945916,21266,1569,[ 0 -1 -1 -1 -1]
1,642587,243877189,36033,2205,[ 0 -1 -1 -1 -1 -1 -1 -1]
2,643618,279367803,197166,4229,"[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
2,109783,279367803,17366,3017,[ 0 -1 -1 -1]
2,315065,280040390,23366,3025,[ 0 -1 -1 -1 -1]
2,643545,278921314,23480,1284,[ 0 -1 -1 -1 -1]
2,116909,278921314,14716,1913,[ 0 -1 -1]
2,272385,279367803,72066,5077,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
2,436153,280040390,61766,8484,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
2,663788,280040390,42733,81552,[1 1 1 1 1 1 1 1 1]
2,504490,278921314,10866,51708,[1 1 1]
2,538207,279367803,11000,5817,[ 1  0 -1]
2,658034,278921314,30100,60659,[1 1 1 1 1 1 1]
2,427385,280040390,63033,3305,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
2,330441,278921314,14233,1584,[ 0 -1 -1]
2,620827,279367803,13833,62666,[1 1 1]
2,108302,279533055,43800,7971,[ 1  0 -1 -1 -1 -1 -1 -1 -1]
2,661828,278921314,32283,32988,[1 1 1 1 1 1 1]
2,553349,279533055,20816,8138,[ 1  0 -1 -1 -1]
2,314265,280040390,68100,2224,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,98822,77905489,20133,2460,[ 0 -1 -1 -1 -1]
3,29036,181126900,6516,7379,[1 1]
3,550776,126866594,29800,13439,[ 1  1  0 -1 -1 -1]
3,410410,134842799,168433,3209,"[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
3,658431,256697332,75616,1757,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,462913,12717919,10733,22325,[1 1 1]
3,638694,240327815,94066,3707,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,320228,41148947,76550,8607,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,167740,44808598,66300,20036,[ 1  1  1  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,409906,77905489,24566,1711,[ 0 -1 -1 -1 -1]
3,532930,175461556,14300,1443,[ 0 -1 -1]
3,417406,43564447,119800,65135,[ 1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,398556,180331431,28166,17164,[ 1  1  1  0 -1 -1]
3,487781,43564447,152033,50750,"[ 1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1]"
3,351766,43936516,10300,12109,[1 1 1]
3,154207,175741801,61677,9410,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,634250,239622313,45433,40605,[ 1  1  1  1  1  1  1  1  0 -1]
3,464412,12933101,14300,1372,[ 0 -1 -1]
3,441287,12870780,8119,14701,[1 1]
3,455633,175547576,9633,1357,[ 0 -1]
3,152825,43564447,15066,20582,[1 1 1 1]
3,394117,77944810,18566,7397,[ 1  0 -1 -1]
3,384102,12870780,8640,10823,[1 1]
3,127224,43564447,56120,57621,[1 1 1 1 1 1 1 1 1 1 1 1]
3,546415,126840373,66700,9474,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,336270,155895624,15033,2003,[ 0 -1 -1 -1]
3,468024,13064351,112366,1962,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,588957,175573305,54566,5215,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,307189,140550923,16433,1633,[ 0 -1 -1 -1]
3,337664,44510649,74033,57227,[ 1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]
3,601448,257009088,14367,1051,[ 0 -1 -1]
3,169730,256964201,66166,31791,[ 1  1  1  1  1  1  0 -1 -1 -1 -1 -1 -1 -1]
3,177287,13157417,26600,1229,[ 0 -1 -1 -1 -1 -1]
3,441985,180861518,10533,8239,[ 1  0 -1]
3,151096,239211880,31566,16675,[ 1  1  1  0 -1 -1 -1]
3,587262,180264060,84033,36010,[ 1  1  1  1  1  1  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,165456,257009088,96166,5844,[ 1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,274223,240494930,12366,2179,[ 0 -1 -1]
3,428934,126866594,88920,2254,[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
3,550275,126981130,17366,4353,[ 0 -1 -1 -1]
3,438533,256477778,9433,9813,[1 1]
3,209005,40878644,163332,2144,"[ 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
3,377741,126909718,27700,1062,[ 0 -1 -1 -1 -1 -1]
3,547723,134671015,8466,8151,[1 0]
3,451416,180215191,24700,25805,[1 1 1 1 1]
3,46837,41722438,25700,26734,[1 1 1 1 1 1]
3,415355,41923158,38466,8991,[ 1  0 -1 -1 -1 -1 -1 -1]
3,420840,44510649,53733,35913,[ 1  1  1  1  1  1  1  0 -1 -1 -1]
3,557928,133631968,49100,36775,[ 1  1  1  1  1  1  1  0 -1 -1]
3,531772,77944810,39666,1935,[ 0 -1 -1 -1 -1 -1 -1 -1]
